CATALOG NUMBER,IDENTIFICATION,COUNTRY,STATE,COUNTY,PRECISE LOCALITY,COLLECTOR(S),COLLECTING DATE,SEX,PREPS
MS-8777,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",3-Jul-94,Female,"Skin
Skull "
MS-8778,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",3-Jul-94,Female,"Skull
Skin "
MS-8779,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",3-Jul-94,Female,"Skull
Skin "
MS-8780,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,7-Jul-94,Male,"Skull
Skin "
MS-8781,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,7-Jul-94,Male,"Skull
Skin "
MS-8782,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,7-Jul-94,Female,"Skin
Skull "
MS-8783,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,7-Jul-94,Sex Unknown,"Skin
Skull "
MS-8784,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,7-Jul-94,Female,"Skin
Skull "
MS-8785,Neotoma albigula albigula,USA,Arizona,Cochise Co.,Chiricahua Mountains,W. W. Price,21-Mar-94,Female,"Skull
Skin "
MS-8786,Neotoma mexicana mexicana,USA,Arizona,Cochise Co.,Chiricahua Mountains,W. W. Price,15-Jun-94,Female,"Skull
Skin "
MS-8787,Neotoma mexicana mexicana,USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,17-Jun-94,Female,"Skin
Skull "
MS-8788,Neotoma mexicana mexicana,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",27-Jun-94,Male,"Skin
Skull "
MS-8789,Neotoma mexicana mexicana,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",5-Jul-94,Female,"Skin
Skull "
MS-8790,Neotoma albigula albigula,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",6-Jul-94,Male,"Skin
Skull "
MS-8843,Reithrodontomys megalotis arizonensis,USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,8-Jul-94,Female,"Skull
Skin "
MS-8844,Reithrodontomys megalotis arizonensis,USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,9-Jul-94,Female,"Skull
Skin "
MS-9486,Neotoma albigula albigula,USA,Arizona,Cochise Co.,Chiricahua Mountains,Loye Miller,16-Jul-94,Male,"Skull
Skin "
MS-9487,Neotoma mexicana maxicana,USA,Arizona,Cochise Co.,Chiricahua Mountains,Loye Miller,21-Jul-94,Male,"Skull
Skin "
MS-9488,Neotoma albigula albigula,USA,Arizona,Cochise Co.,Chiricahua Mountains,Loye Miller,24-Jul-94,Female,"Skin
Skull "
MS-9489,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Chiricahua Mountains,Loye Miller,13-Jul-94,Male,"Skull
Skin "
MS-9490,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Chiricahua Mountains,Loye Miller,21-Jul-94,Female,"Skull
Skin "
MS-9491,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Chiricahua Mountains,Loye Miller,10-Aug-94,Male,"Skull
Skin "
MS-9492,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Chiricahua Mountains,Loye Miller,10-Aug-94,Male,"Skull
Skin "
MS-9550,Mus musculus,USA,Arizona,Cochise Co.,Chiricahua Mountains,Loye Miller,31-Jul-94,Female,Skin
MO-6740,Nyctinomops macrotis,USA,Arizona,Cochise Co.,Chiricahua Mountains,William W. Price,22-Jun-94,Female,"Skull
Skin "
MO-7337,"Eptesicus fuscus (Beauvois, 1796)",USA,Arizona,Cochise Co.,Chiricahua Mountains,William W. Price,15-Jun-94,Male,"Skull
Skin "
MO-7338,"Eptesicus fuscus (Beauvois, 1796)",USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",21-Jun-94,Male,"Skull
Skin "
MO-7339,"Eptesicus fuscus (Beauvois, 1796)",USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",22-Jun-94,Male,"Skull
Skin "
MO-7340,"Eptesicus fuscus (Beauvois, 1796)",USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",26-Jun-94,Female,"Skull
Skin "
MO-7341,"Eptesicus fuscus (Beauvois, 1796)",USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",26-Jun-94,Female,"Skull
Skin "
MO-7342,"Eptesicus fuscus (Beauvois, 1796)",USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",28-Jun-94,Male,"Skull
Skin "
MO-7343,"Eptesicus fuscus (Beauvois, 1796)",USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",28-Jun-94,Female,"Skull
Skin "
MO-7344,"Eptesicus fuscus (Beauvois, 1796)",USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",29-Jun-94,Male,"Skull
Skin "
MO-7345,"Eptesicus fuscus (Beauvois, 1796)",USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,6-Jul-94,Male,"Skull
Skin "
MO-7346,"Eptesicus fuscus (Beauvois, 1796)",USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,6-Jul-94,Female,"Skull
Skin "
MO-7347,"Eptesicus fuscus (Beauvois, 1796)",USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,6-Jul-94,Female,"Skull
Skin "
MO-7348,"Eptesicus fuscus (Beauvois, 1796)",USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,6-Jul-94,Female,"Skull
Skin "
MO-7349,"Eptesicus fuscus (Beauvois, 1796)",USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,7-Jul-94,Male,"Skull
Skin "
MO-7350,"Eptesicus fuscus (Beauvois, 1796)",USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,9-Jul-94,Female,"Skull
Skin "
MO-7354,"Lasionycteris noctivagans (Le Conte, 1831)",USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",11-Jun-94,Male,"Skull
Skin "
MO-7355,"Nyctinomus Geoffroy Saint-Hilaire, 1818",USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",19-Jun-94,Male,"Skull
Skin "
MO-7356,"Nyctinomus Geoffroy Saint-Hilaire, 1818",USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",22-Jun-94,Female,"Skull
Skin "
MO-7357,"Nyctinomus Geoffroy Saint-Hilaire, 1818",USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",23-Jun-94,Female,"Skull
Skin "
MO-7834,"Myotis auriculus apache Hoffmeister & Krutzsch, 1955",USA,Arizona,Cochise Co.,Chiricahua Mountains,Loye Miller,1-Jul-94,Sex Unknown,Skull
MO-7845,"Myotis auriculus apache Hoffmeister & Krutzsch, 1955",USA,Arizona,Cochise Co.,Chiricahua Mountains,Loye Miller,6-Aug-94,Male,"Skull
Skin "
MS-8414,Nyctinomops macrotis,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",22-Jun-94,Female,"Skull
Skin "
MS-8415,Myotis auriculus apache,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",1-Jan-94,Sex Unknown,"Skull
Skin "
MS-9042,Eptesicus fuscus pallidus,USA,Arizona,Cochise Co.,Chiricahua Mountains,W. W. Price,15-Jun-94,Male,"Skin
Skull "
MS-9043,Eptesicus fuscus pallidus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",21-Jun-94,Male,"Skull
Skin "
MS-9044,Eptesicus fuscus pallidus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",26-Jun-94,Female,"Skin
Skull "
MS-9045,Eptesicus fuscus pallidus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",26-Jun-94,Female,"Skull
Skin "
MS-9046,Eptesicus fuscus pallidus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",26-Jun-94,Female,"Skull
Skin "
MS-9047,Eptesicus fuscus pallidus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",28-Jun-94,Male,"Skull
Skin "
MS-9048,Eptesicus fuscus pallidus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",28-Jun-94,Female,"Skull
Skin "
MS-9049,Eptesicus fuscus pallidus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",29-Jun-94,Male,"Skull
Skin "
MS-9050,Eptesicus fuscus pallidus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",6-Jul-94,Male,"Skull
Skin "
MS-9051,Eptesicus fuscus pallidus,USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,6-Jul-94,Female,"Skull
Skin "
MS-9052,Eptesicus fuscus pallidus,USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,6-Jul-94,Female,"Skin
Skull "
MS-9053,Eptesicus fuscus pallidus,USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,6-Jul-94,Female,"Skin
Skull "
MS-9054,Eptesicus fuscus pallidus,USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,7-Jul-94,Male,"Skin
Skull "
MS-9055,Eptesicus fuscus pallidus,USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,9-Jul-94,Female,"Skull
Skin "
MS-9060,Lasionycteris noctivagans,USA,Arizona,Cochise Co.,Chiricahua Mountains,W. W. Price,11-Jun-94,Male,"Skin
Skull "
MS-9061,Tadarida brasiliensis mexicana,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",19-Jun-94,Male,"Skin
Skull "
MS-9062,Tadarida brasiliensis mexicana,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",22-Jun-94,Female,"Skull
Skin "
MS-9063,Tadarida brasiliensis mexicana,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",23-Jun-94,Female,"Skin
Skull "
MS-9494,Myotis auriculus apache,USA,Arizona,Cochise Co.,Chiricahua Mountains,Loye Miller,6-Aug-94,Male,"Skull
Skin "
M-173862,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,"Chiricahua Mountains, Round Peak",Paul S. Martin,3-Aug-56,Male,Skull
M-173734,Sorex vagrans monticola,USA,Arizona,Cochise Co.,"Chiricahua Mountains, Round Peak",Paul S. Martin,3-Aug-56,Male,Fluid
M-173735,Sorex vagrans monticola,USA,Arizona,Cochise Co.,"Chiricahua Mountains, Round Peak",Paul S. Martin,3-Aug-56,Male,Fluid
M-173736,Sorex vagrans monticola,USA,Arizona,Cochise Co.,"Chiricahua Mountains, Round Peak",Paul S. Martin,3-Aug-56,Female,Fluid
M-173738,Soricidae,USA,Arizona,Cochise Co.,"Chiricahua Mountains, Round Peak",Paul S. Martin,4-Aug-56,Female,Skull
M-173876,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,"Chiricahua Mountains, Rucker Canyon, Cypress Camp",M. Martin,13-Jul-56,Male,"Skull
Skin "
M-173844,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,"Chiricahua Mountains, Rucker Canyon; Cypress Camp",M. Martin,13-Jul-56,Male,"Skull
Skin "
M-173845,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,"Chiricahua Mountains, Rucker Canyon; Cypress Camp",M. Martin,13-Jul-56,Male,"Skin
Skull "
M-173846,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,"Chiricahua Mountains, Rucker Canyon; Cypress Camp",M. Martin,13-Jul-56,Female,"Skin
Skull "
M-173847,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,"Chiricahua Mountains, Rucker Canyon; Cypress Camp",M. Martin,13-Jul-56,Female,"Skin
Skull "
M-173817,Tamias dorsalis dorsalis,USA,Arizona,Cochise Co.,"Chiricahua Mountains, Rustler Peak",M. Martin,25-Jul-56,Female,"Skin
Skull "
M-173818,Tamias dorsalis dorsalis,USA,Arizona,Cochise Co.,"Chiricahua Mountains, Rustler Peak",M. Martin,25-Jul-56,Female,"Skull
Skin "
M-173819,Tamias dorsalis dorsalis,USA,Arizona,Cochise Co.,"Chiricahua Mountains, Rustler Peak",M. Martin,26-Jul-56,Female,"Skin
Skull "
M-173820,Tamias dorsalis dorsalis,USA,Arizona,Cochise Co.,"Chiricahua Mountains, Rustler Peak",M. Martin,26-Jul-56,Female,"Skull
Skin "
M-173821,Tamias dorsalis dorsalis,USA,Arizona,Cochise Co.,"Chiricahua Mountains, Rustler Peak",Paul S. Martin,4-Aug-56,Female,"Skin
Skull "
M-184189,Tamias dorsalis dorsalis,USA,Arizona,Cochise Co.,"Chiricahua Mountains, Rustler Peak",J. F. Cox,21-Oct-56,Male,"Skin
Skull "
M-173861,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,"Chiricahua Mountains, Rustler Peak",M. Martin,25-Jul-56,Female,Skull
M-173775,Neotoma mexicana mexicana,USA,Arizona,Cochise Co.,"Chiricahua Mountains, Sentinel Peak",Paul S. Martin,4-Aug-56,Male,"Skull
Skin "
M-173776,Neotoma mexicana mexicana,USA,Arizona,Cochise Co.,"Chiricahua Mountains, Sentinel Peak",Paul S. Martin,4-Aug-56,Female,"Skin
Skull "
M-173848,Peromyscus difficilis nasutus,USA,Arizona,Cochise Co.,"Chiricahua Mountains, Sentinel Peak",Paul S. Martin,4-Aug-56,Male,"Skull
Skin "
M-173849,Peromyscus difficilis nasutus,USA,Arizona,Cochise Co.,"Chiricahua Mountains, Sentinel Peak",Paul S. Martin,4-Aug-56,Male,"Skin
Skull "
M-173850,Peromyscus difficilis nasutus,USA,Arizona,Cochise Co.,"Chiricahua Mountains, Sentinel Peak",Paul S. Martin,4-Aug-56,Male,"Skin
Skull "
M-173851,Peromyscus difficilis nasutus,USA,Arizona,Cochise Co.,"Chiricahua Mountains, Sentinel Peak",Paul S. Martin,4-Aug-56,Female,"Skin
Skull "
M-173852,Peromyscus difficilis nasutus,USA,Arizona,Cochise Co.,"Chiricahua Mountains, Sentinel Peak",Paul S. Martin,4-Aug-56,Female,"Skull
Skin "
M-173853,Peromyscus difficilis nasutus,USA,Arizona,Cochise Co.,"Chiricahua Mountains, Sentinel Peak",Paul S. Martin,4-Aug-56,Female,"Skull
Skin "
M-173854,Peromyscus difficilis nasutus,USA,Arizona,Cochise Co.,"Chiricahua Mountains, Sentinel Peak",Paul S. Martin,4-Aug-56,Male,"Skin
Skull "
M-173855,Peromyscus difficilis nasutus,USA,Arizona,Cochise Co.,"Chiricahua Mountains, Sentinel Peak",Paul S. Martin,4-Aug-56,Female,"Skull
Skin "
M-173856,Peromyscus difficilis nasutus,USA,Arizona,Cochise Co.,"Chiricahua Mountains, Sentinel Peak",Paul S. Martin,4-Aug-56,Female,"Skull
Skin "
M-173857,Peromyscus difficilis nasutus,USA,Arizona,Cochise Co.,"Chiricahua Mountains, Sentinel Peak",Paul S. Martin,4-Aug-56,Female,"Skull
Skin "
M-173858,Peromyscus difficilis nasutus,USA,Arizona,Cochise Co.,"Chiricahua Mountains, Sentinel Peak",Paul S. Martin,4-Aug-56,Male,"Skin
Skull "
M-173859,Peromyscus difficilis nasutus,USA,Arizona,Cochise Co.,"Chiricahua Mountains, Sentinel Peak",Paul S. Martin,4-Aug-56,Female,"Skull
Skin "
M-173863,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,"Chiricahua Mountains, Sentinel Peak",Paul S. Martin,4-Aug-56,Female,Skull
M-173864,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,"Chiricahua Mountains, Sentinel Peak",Paul S. Martin,4-Aug-56,Female,Skull
M-173865,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,"Chiricahua Mountains, Sentinel Peak",Paul S. Martin,4-Aug-56,Male,Skull
M-173737,Sorex vagrans monticola,USA,Arizona,Cochise Co.,"Chiricahua Mountains, Sentinel Peak",Paul S. Martin,4-Aug-56,Female,Fluid
M-178893,"Idionycteris phyllotis Allen, 1916",USA,Arizona,Cochise Co.,"Chiricahua Mountains, Southwestern Research Station",Larry R. Commissaris,3-Jun-58,Male,"Skeleton
Skull
Skin "
M-173883,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains; Round Peak,Paul S. Martin,3-Aug-56,Female,"Skull
Skin "
M-173884,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains; Round Peak,Paul S. Martin,3-Aug-56,Female,"Skin
Skull "
M-173885,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains; Round Peak,Paul S. Martin,3-Aug-56,Female,"Skin
Skull "
M-173886,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains; Round Peak,Paul S. Martin,3-Aug-56,Male,"Skin
Skull "
M-173887,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains; Round Peak,M. Martin,26-Jul-56,Male,"Skin
Skull "
M-173888,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains; Round Peak,Paul S. Martin,3-Aug-56,Male,"Skull
Skin "
M-173889,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains; Round Peak,Paul S. Martin,3-Aug-56,Male,"Skull
Skin "
M-173890,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains; Round Peak,M. Martin,25-Jul-56,Male,"Skin
Skull "
M-173891,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains; Round Peak,M. Martin,26-Jul-56,Female,"Skin
Skull "
M-173892,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains; Round Peak,M. Martin,26-Jul-56,Male,"Skin
Skull "
M-173893,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains; Round Peak,M. Martin,26-Jul-56,Male,"Skin
Skull "
M-173674,Corynorhinus townsendii pallescens,USA,Arizona,Cochise Co.,Crystal cave,"P. S
M. Martin",12-Aug-56,Female,"Skin
Skull "
M-173675,Corynorhinus townsendii pallescens,USA,Arizona,Cochise Co.,Crystal cave,"P. S
M. Martin",12-Aug-56,Female,"Skull
Skin "
M-173676,Corynorhinus townsendii pallescens,USA,Arizona,Cochise Co.,Crystal cave,"P. S
M. Martin",12-Aug-56,Female,"Skull
Skin "
M-173677,Corynorhinus townsendii pallescens,USA,Arizona,Cochise Co.,Crystal cave,"P. S
M. Martin",12-Aug-56,Female,"Skin
Skull "
M-173678,Corynorhinus townsendii pallescens,USA,Arizona,Cochise Co.,Crystal cave,"P. S
M. Martin",12-Aug-56,Female,"Skin
Skull "
M-173679,Corynorhinus townsendii pallescens,USA,Arizona,Cochise Co.,Crystal cave,"P. S
M. Martin",12-Aug-56,Male,"Skull
Skin "
M-173680,Corynorhinus townsendii pallescens,USA,Arizona,Cochise Co.,Crystal cave,"P. S
M. Martin",12-Aug-56,Female,"Skull
Skin "
M-173681,Corynorhinus townsendii pallescens,USA,Arizona,Cochise Co.,Crystal cave,"P. S
M. Martin",12-Aug-56,Female,"Skin
Skull "
M-173682,Corynorhinus townsendii pallescens,USA,Arizona,Cochise Co.,Crystal cave,"P. S
M. Martin",12-Aug-56,Female,"Skull
Skin "
M-173683,Corynorhinus townsendii pallescens,USA,Arizona,Cochise Co.,Crystal cave,"P. S
M. Martin",12-Aug-56,Female,"Skull
Skin "
M-173684,Corynorhinus townsendii pallescens,USA,Arizona,Cochise Co.,Crystal cave,"P. S
M. Martin",12-Aug-56,Male,"Skin
Skull "
M-173685,Corynorhinus townsendii pallescens,USA,Arizona,Cochise Co.,Crystal cave,"P. S
M. Martin",12-Aug-56,Male,"Skull
Skin "
MO-7265,Tamias dorsalis,USA,Arizona,Graham Co.,Graham Mountains,B. C. Condit,19 Jul 1894,Female,"Skull
Skin "
MO-7308,Tamiasciurus hudsonicus grahamensis,USA,Arizona,Graham Co.,Graham Mountains,"William W. Price
B. C. Condit",18 Jul 1894,Female,"Skull
Skin "
MO-7309,Tamiasciurus hudsonicus grahamensis,USA,Arizona,Graham Co.,Graham Mountains,"William W. Price
B. C. Condit",19 Jul 1894,Male,"Skull
Skin "
MS-8969,Tamias dorsalis dorsalis,USA,Arizona,Graham Co.,Graham Mountains,B. C. Condit,19 Jul 1894,Female,"Skull
Skin "
MS-9013,Tamiasciurus hudsonicus grahamensis,USA,Arizona,Graham Co.,Graham Mountains,"Price
Condit",18 Jul 1894,Female,"Skull
Skin "
MS-9014,Tamiasciurus hudsonicus grahamensis,USA,Arizona,Graham Co.,Graham Mountains,"Price
Condit",19 Jul 1894,Male,"Skin
Skull "
MO-6758,Thomomys umbrinus fulvus,USA,Arizona,Graham Co.,Graham Mountains,"B. C. Condit
William W. Price",19 Jul 1894,Male,"Skull
Skin "
MO-6759,Thomomys umbrinus fulvus,USA,Arizona,Graham Co.,Graham Mountains,"B. C. Condit
William W. Price",19 Jul 1894,Female,"Skull
Skin "
MS-8431,Thomomys umbrinus fulvus,USA,Arizona,Graham Co.,Graham Mountains,"Price
Condit",19 Jul 1894,Female,"Skin
Skull "
MS-8432,Thomomys umbrinus fulvus,USA,Arizona,Graham Co.,Graham Mountains,"Price
Condit",19 Jul 1894,Female,"Skull
Skin "
MO-6734,Microtus longicaudus leucophaeus (Allen),USA,Arizona,Graham Co.,Graham Mountains,"William W. Price
B. C. Condit",18-Jul-94,Female,"Skull
Skin "
MO-6735,Microtus longicaudus leucophaeus (Allen),USA,Arizona,Graham Co.,Graham Mountains,"William W. Price
B. C. Condit",19-Jul-94,Female,"Skull
Skin "
MO-7022,Peromyscus maniculatus rufinus,USA,Arizona,Graham Co.,Graham Mountains,"B. C. Condit
William W. Price",19-Jul-94,Male,"Skull
Skin "
MO-7023,Peromyscus maniculatus rufinus,USA,Arizona,Graham Co.,Graham Mountains,"B. C. Condit
William W. Price",18-Jul-94,Male,"Skull
Skin "
MO-7024,Peromyscus maniculatus rufinus,USA,Arizona,Graham Co.,Graham Mountains,"B. C. Condit
William W. Price",18-Jul-94,Male,"Skull
Skin "
MO-7025,Peromyscus maniculatus rufinus,USA,Arizona,Graham Co.,Graham Mountains,"B. C. Condit
William W. Price",19-Jul-94,Male,"Skull
Skin "
MO-7026,Peromyscus maniculatus rufinus,USA,Arizona,Graham Co.,Graham Mountains,"B. C. Condit
William W. Price",18-Jul-94,Male,"Skull
Skin "
MO-7027,Peromyscus maniculatus rufinus,USA,Arizona,Graham Co.,Graham Mountains,"B. C. Condit
William W. Price",18-Jul-94,Female,"Skull
Skin "
MO-7028,Peromyscus maniculatus rufinus,USA,Arizona,Graham Co.,Graham Mountains,"B. C. Condit
William W. Price",18-Jul-94,Female,"Skull
Skin "
MO-7029,Peromyscus maniculatus rufinus,USA,Arizona,Graham Co.,Graham Mountains,"B. C. Condit
William W. Price",18-Jul-94,Female,"Skull
Skin "
MO-7030,Peromyscus maniculatus rufinus,USA,Arizona,Graham Co.,Graham Mountains,"B. C. Condit
William W. Price",18-Jul-94,Female,"Skull
Skin "
MO-7031,Peromyscus maniculatus rufinus,USA,Arizona,Graham Co.,Graham Mountains,"B. C. Condit
William W. Price",19-Jul-94,Male,"Skull
Skin "
MO-7032,Peromyscus maniculatus rufinus,USA,Arizona,Graham Co.,Graham Mountains,"B. C. Condit
William W. Price",19-Jul-94,Male,"Skull
Skin "
MO-7106,Neotoma mexicana,USA,Arizona,Graham Co.,Graham Mountains,B. C. Condit,19-Jul-94,Female,"Skull
Skin "
MS-8409,Microtus longicaudus leucophaeus,USA,Arizona,Graham Co.,Graham Mountains,"Price
Condit",18-Jul-94,Female,"Skull
Skin "
MS-8410,Microtus longicaudus leucophaeus,USA,Arizona,Graham Co.,Graham Mountains,"Price
Condit",19-Jul-94,Female,"Skin
Skull "
MS-8713,Peromyscus maniculatus rufinus,USA,Arizona,Graham Co.,Graham Mountains,"Price
Condit",19-Jul-94,Male,"Skull
Skin "
MS-8714,Peromyscus maniculatus rufinus,USA,Arizona,Graham Co.,Graham Mountains,"Price
Condit",18-Jul-94,Male,"Skin
Skull "
MS-8715,Peromyscus maniculatus rufinus,USA,Arizona,Graham Co.,Graham Mountains,"Price
Condit",18-Jul-94,Male,"Skull
Skin "
MS-8716,Peromyscus maniculatus rufinus,USA,Arizona,Graham Co.,Graham Mountains,"Price
Condit",19-Jul-94,Male,"Skin
Skull "
MS-8717,Peromyscus maniculatus rufinus,USA,Arizona,Graham Co.,Graham Mountains,"Price
Condit",18-Jul-94,Male,"Skin
Skull "
MS-8718,Peromyscus maniculatus rufinus,USA,Arizona,Graham Co.,Graham Mountains,"Price
Condit",18-Jul-94,Female,"Skin
Skull "
MS-8719,Peromyscus maniculatus rufinus,USA,Arizona,Graham Co.,Graham Mountains,"Price
Condit",18-Jul-94,Female,"Skin
Skull "
MS-8720,Peromyscus maniculatus rufinus,USA,Arizona,Graham Co.,Graham Mountains,"Price
Condit",18-Jul-94,Female,"Skin
Skull "
MS-8721,Peromyscus maniculatus rufinus,USA,Arizona,Graham Co.,Graham Mountains,"Price
Condit",18-Jul-94,Female,"Skull
Skin "
MS-8722,Peromyscus maniculatus rufinus,USA,Arizona,Graham Co.,Graham Mountains,"Price
Condit",19-Jul-94,Male,"Skull
Skin "
MS-8723,Peromyscus maniculatus rufinus,USA,Arizona,Graham Co.,Graham Mountains,"Price
Condit",19-Jul-94,Male,"Skin
Skull "
MS-8724,Peromyscus maniculatus rufinus,USA,Arizona,Graham Co.,Graham Mountains,"Price
Condit",19-Jul-94,Female,"Skin
Skull "
MS-8798,Neotoma mexicana mexicana,USA,Arizona,Graham Co.,Graham Mountains,"Price
Condit",19-Jul-94,Female,"Skin
Skull "
M-173810,Microtus longicaudus leucophaeus,USA,Arizona,Graham Co.,Hospital Flats,M. Martin,19-Jul-56,Male,"Skull
Skin "
MO-7314,Sciurus arizonensis huachuca,USA,Arizona,Cochise Co.,Huachuca Mountains,"B. C. Condit
William W. Price",28 Jan 1894,Male,"Skull
Skin "
MO-7315,Sciurus arizonensis huachuca,USA,Arizona,Cochise Co.,Huachuca Mountains,William W. Price,20 Feb 1894,Female,"Skull
Skin "
MO-7316,Sciurus arizonensis huachuca,USA,Arizona,Cochise Co.,Huachuca Mountains,William W. Price,20 Feb 1894,Female,"Skull
Skin "
MO-7851,Sciurus arizonensis huachuca,USA,Arizona,Cochise Co.,Huachuca Mountains,Loye Miller,19 Jun 1894,Female,"Skull
Skin "
MO-7852,Sciurus arizonensis huachuca,USA,Arizona,Cochise Co.,Huachuca Mountains,Loye Miller,03 Jul 1894,Female,"Skull
Skin "
MO-7889,Sciurus arizonensis huachuca,USA,Arizona,Cochise Co.,Huachuca Mountains,Loye Miller,Jun 1894,Sex Unknown,Skull
MS-9019,Sciurus arizonensis huachuca,USA,Arizona,Cochise Co.,Huachuca Mountains,"Price
Condit",23 Jan 1894,Male,"Skull
Skin "
MS-9020,Sciurus arizonensis huachuca,USA,Arizona,Cochise Co.,Huachuca Mountains,W. W. Price,20 Feb 1894,Female,"Skin
Skull "
