Mountain,Max_Elevation,Area,Ruggedness_Mean,Ruggedness_SD,State,Country,Rodent_Specimens_Georeferenced_Last_Year_of_Collection,Rodent_Specimens_Georeferenced,Rodent_Specimens_Georeferenced_per_km,Rodent_Specimens_Nongeoreferenced,Shrew_Specimens_Georeferenced_Last_Year_of_Collection,Shrew_Specimens_Georeferenced,Shrew_Specimens_Georeferenced_per_km,Shrew_Specimens_Nongeoreferenced,Bat_Specimens_Georeferenced_Last_Year_of_Collection,Bat_Specimens_Georeferenced,Bat_Specimens_Georeferenced_per_km,Bat_Specimens_Nongeoreferenced,All_Specimens_Georeferenced,All_Specimens_Georeferened_per_km,All_Specimens_Nongeoreferenced,Oak_Woodland_Area,Pine_Oak_Area,Pine_Forest_Area,Mixed_Conifer_Area,Limber_Alpine_Forest_Area
Sierra El Manzanal,1919,37.42225754,4.317575286,1.096488561,SO,Mexico,No_record,0,0,0,No_record,0,0,0,No_record,0,0,0,0,0,0,35.48411059,1.938146949,0,0,0
Sierra El Pinito East,2264,52.23596534,4.578798153,0.9597039245,SO,Mexico,No_record,0,0,0,No_record,0,0,0,No_record,0,0,0,0,0,0,37.64504961,14.36068432,0.230231412,0,0
Sierra El Pinito West,2230,224.7986981,4.759826228,0.7256425451,SO,Mexico,No_record,0,0,0,No_record,0,0,0,No_record,0,0,0,0,0,0,148.5882059,76.1357552,0.074736947,0,0
Sierra La Ceniza,1822,13.61247395,4.430535351,1.015899972,SO,Mexico,No_record,0,0,0,No_record,0,0,0,No_record,0,0,0,0,0,0,13.5800952,0.032378752,0,0,0
Sierra La Madera,2044,38.22389673,4.717996038,0.7843541702,SO,Mexico,No_record,0,0,0,No_record,0,0,0,No_record,0,0,0,0,0,0,27.13805664,11.08584009,0,0,0
Sierra La Mariquita,2500,239.5040858,4.33604,0.9661371998,SO,Mexico,2008,9,0.0376,0,No_record,0,0,0,1958,1,0.0042,0,10,0.041752941,0,146.6964753,80.5582176,12.2493929,0,0
Sierra La Sandia,2179,137.0391498,4.573415581,0.8879425445,SO,Mexico,No_record,0,0,0,No_record,0,0,0,No_record,0,0,0,0,0,0,110.1507141,26.88843574,0,0,0
Sierra Las Guijas,1823,4.105877428,4.44764933,1.089737311,SO,Mexico,No_record,0,0,0,No_record,0,0,0,No_record,0,0,0,0,0,0,3.982624072,0.123253356,0,0,0
Sierra Purica,1925,11.49689778,4.655740504,0.9305642165,SO,Mexico,No_record,0,0,0,No_record,0,0,0,No_record,0,0,0,0,0,0,10.26212366,1.234774124,0,0,0
Sierra San Antonio,2213,112.3930642,4.665714129,0.8336212483,SO,Mexico,No_record,0,0,2,No_record,0,0,0,No_record,0,0,0,0,0,2,84.40300142,27.97788641,0.01217633,0,0
Sierra San Jose,2539,123.2431982,4.149485122,1.065850382,SO,Mexico,No_record,0,0,31,No_record,0,0,0,No_record,0,0,1,0,0,32,87.69519637,31.69078905,3.857212819,0,0
Sierrita,1887,24.11598572,4.578603546,0.9156744199,AZ,USA,No_record,0,0,5,No_record,0,0,0,No_record,0,0,0,0,0,5,22.71157559,1.404410134,0,0,0
Superstition,1902,43.27504824,4.376799603,1.027955974,AZ,USA,No_record,0,0,0,No_record,0,0,0,No_record,0,0,0,0,0,0,42.06656797,1.208480264,0,0,0
Swisshelm,2181,83.44511826,4.327372183,0.97200145,AZ,USA,No_record,0,0,0,No_record,0,0,0,No_record,0,0,0,0,0,0,65.62773077,17.81738749,0,0,0
Whetstone,2331,183.1008834,4.605754792,0.8273248619,AZ,USA,1968,24,0.1311,0,No_record,0,0,0,1967,1,0.0055,0,25,0.136536753,0,111.8369798,69.6814851,1.582418526,0,0
Winchester,2315,234.282109,4.52208813,0.8857550156,AZ,USA,1973,26,0.111,0,No_record,0,0,0,No_record,0,0,0,26,0.110977318,0,156.4508848,76.41158631,1.41963791,0,0
